Name,Category,Rarity,SKU ID,Price
Roronoa Zoro (Alternate Art) (Manga),Wings of the Captain,SEC,OP06-118,CA$933.57
O-Nami (SP),500 Years in the Future,R,OP06-101,CA$225.41
Roronoa Zoro,Wings of the Captain,SEC,OP06-118,CA$46.67
Sanji,Wings of the Captain,SEC,OP06-119,CA$35.70
Gecko Moria (086),Wings of the Captain,SR,OP06-086,CA$0.50
Roronoa Zoro (Alternate Art),Wings of the Captain,SEC,OP06-118,CA$98.57
Yamato (Alternate Art),Wings of the Captain,L,OP06-022,CA$126.06
Sanji (Alternate Art),Wings of the Captain,SEC,OP06-119,CA$65.42
Gecko Moria (086) (Alternate Art),Wings of the Captain,SR,OP06-086,CA$18.55
Kouzuki Hiyori,Wings of the Captain,SR,OP06-106,CA$1.24
Hody Jones (035),Wings of the Captain,SR,OP06-035,CA$3.84
Vinsmoke Reiju (042) (Alternate Art),Wings of the Captain,L,OP06-042,CA$82.32
Vinsmoke Reiju (OP06-068) (Full Art),Premium Booster,C,OP06-068,CA$78.87
Vinsmoke Reiju (069),Wings of the Captain,SR,OP06-069,CA$0.77
Vinsmoke Reiju (OP06-069) (Alternate Art),Premium Booster,SR,OP06-069,CA$62.67
Gecko Moria (Alternate Art),Premium Booster,SR,OP06-086,CA$29.74
Perona (021) (Alternate Art),Wings of the Captain,L,OP06-021,CA$51.11
Roronoa Zoro (Manga),Premium Booster,SEC,OP06-118,CA$611.65
O-Nami (Alternate Art),Wings of the Captain,R,OP06-101,CA$27.35
Vinsmoke Reiju (069) (Alternate Art),Wings of the Captain,SR,OP06-069,CA$36.54
Tashigi (Alternate Art),Wings of the Captain,R,OP06-050,CA$20.27
Perona (093) (Alternate Art),Wings of the Captain,SR,OP06-093,CA$31.04
Charlotte Pudding,Wings of the Captain,R,OP06-047,CA$1.12
You're the One Who Should Disappear,Wings of the Captain,R,OP06-115,CA$2.85
Roronoa Zoro (Alternate Art) (JP),Wings of the Captain,SEC,OP06-118,CA$86.32
O-Nami,Wings of the Captain,R,OP06-101,CA$0.81
Hody Jones (Alternate Art),Premium Booster,SR,OP06-035,CA$104.29
Uta (Alternate Art),Wings of the Captain,L,OP06-001,CA$40.90
Shanks,Wings of the Captain,SR,OP06-007,CA$2.39
Kingdom of GERMA (Alternate Art),Premium Booster,C,OP06-079,CA$69.19
Kouzuki Hiyori (Alternate Art),Premium Booster,SR,OP06-106,CA$63.02
Aramaki (Alternate Art),Wings of the Captain,SR,OP06-043,CA$12.89
O-Nami (Event Pack Vol. 5),One Piece Promotion Cards,R,OP06-101,CA$67.23
Gravity Blade Raging Tiger,Wings of the Captain,R,OP06-058,CA$2.33
Kouzuki Hiyori (Alternate Art),Wings of the Captain,SR,OP06-106,CA$22.17
Roronoa Zoro (JP),Wings of the Captain,SEC,OP06-118,CA$48.61
Perona (093),Wings of the Captain,SR,OP06-093,CA$1.16
Perona (Treasure Cup 2024),One Piece Promotion Cards,PR,OP06-093,CA$159.49
Hody Jones (035) (Alternate Art),Wings of the Captain,SR,OP06-035,CA$37.60
Shanks (Alternate Art),Wings of the Captain,SR,OP06-007,CA$32.60
Gion,Wings of the Captain,UC,OP06-044,CA$0.20
Shiki,Wings of the Captain,UC,OP06-073,CA$0.15
Gecko Moria (080) (Alternate Art),Wings of the Captain,L,OP06-080,CA$30.85
Hatchan,Wings of the Captain,UC,OP06-031,CA$0.08
Kuzan,Wings of the Captain,UC,OP06-045,CA$0.07
Vinsmoke Reiju (OP06-068) (Jolly Roger Foil),Premium Booster,C,OP06-068,CA$0.29
Blue Dragon Seal Water Stream,Wings of the Captain,UC,OP06-019,CA$0.08
Ryuma (Alternate Art),Premium Booster,R,OP06-036,CA$48.36
Bear.King,Wings of the Captain,UC,OP06-012,CA$0.10
Saga,Wings of the Captain,UC,OP06-006,CA$0.10
Gecko Moria (JP),Wings of the Captain,SR,OP06-086,CA$5.31
Gild Tesoro,Wings of the Captain,UC,OP06-071,CA$0.10
Denjiro,Wings of the Captain,UC,OP06-109,CA$0.14
Vinsmoke Reiju (JP),Wings of the Captain,SR,OP06-069,CA$3.91
Oars,Wings of the Captain,UC,OP06-083,CA$0.08
Kumacy,Wings of the Captain,UC,OP06-085,CA$0.10
Borsalino,Wings of the Captain,UC,OP06-054,CA$0.11
Sakazuki,Wings of the Captain,UC,OP06-046,CA$0.07
Daruma,Wings of the Captain,UC,OP06-029,CA$0.07
Kikunojo,Wings of the Captain,R,OP06-104,CA$1.20
Ryuma,Wings of the Captain,R,OP06-036,CA$0.28
Hyouzou,Wings of the Captain,UC,OP06-034,CA$0.08
Ikaros Much,Wings of the Captain,UC,OP06-024,CA$0.08
Vinsmoke Niji (065),Wings of the Captain,R,OP06-065,CA$0.35
Perona (Store Treasure Cup 2024),One Piece Promotion Cards,PR,OP06-093,CA$61.62
Roronoa Zoro (Alternate Art) (Manga) (JP),Wings of the Captain,SEC,OP06-118,"CA$1,259.85"
Kouzuki Momonosuke,Wings of the Captain,SR,OP06-107,CA$0.68
Kouzuki Hiyori (JP),Wings of the Captain,SR,OP06-106,CA$4.89
Vinsmoke Niji (OP06-064) (Jolly Roger Foil),Premium Booster,C,OP06-064,CA$0.25
Sanji (JP),Wings of the Captain,SEC,OP06-119,CA$58.38
Shuraiya,Wings of the Captain,SR,OP06-009,CA$0.47
