Name,Category,Rarity,SKU ID,Price
Charlotte Katakuri (123),Pillars of Strength,SEC,OP03-123,CA$11.50
Charlotte Pudding (SP),Two Legends,R,OP03-112,CA$99.35
Nami (040) (Alternate Art),Pillars of Strength,L,OP03-040,CA$324.62
Charlotte Linlin (SP),Wings of the Captain,SR,OP03-114,CA$123.68
Charlotte Katakuri (Reprint),Premium Booster,SEC,OP03-123,CA$9.23
Charlotte Katakuri (Alternate Art),Premium Booster,SEC,OP03-123,CA$92.51
Buggy (SP),Wings of the Captain,UC,OP03-008,CA$75.62
Marco (Alternate Art),Pillars of Strength,SR,OP03-013,CA$34.89
Charlotte Cracker (Reprint),Premium Booster,SR,OP03-108,CA$0.35
Charlotte Katakuri (JP),Pillars of Strength,SEC,OP03-123,CA$8.10
Arlong (Alternate Art),Pillars of Strength,L,OP03-022,CA$101.85
Charlotte Pudding (Alternate Art),Pillars of Strength,R,OP03-112,CA$35.91
Charlotte Katakuri (123) (Alternate Art),Pillars of Strength,SEC,OP03-123,CA$69.03
Portgas.D.Ace (Special Goods Set -Ace/Sabo/Luffy-),One Piece Promotion Cards,L,OP03-001,CA$40.83
Sogeking (Alternate Art) (Manga),Pillars of Strength,SEC,OP03-122,CA$511.54
Charlotte Katakuri (099) (Alternate Art),Pillars of Strength,L,OP03-099,CA$199.40
Rob Lucci (SP),Awakening of the New Era,SR,OP03-092,CA$44.16
Marco,Pillars of Strength,SR,OP03-013,CA$14.00
Charlotte Perospero (Reprint),Premium Booster,SR,OP03-113,CA$0.32
Charlotte Pudding,Pillars of Strength,R,OP03-112,CA$0.38
Krieg,Pillars of Strength,SR,OP03-025,CA$1.37
Charlotte Linlin (114) (Alternate Art),Pillars of Strength,SR,OP03-114,CA$25.27
Usopp,Pillars of Strength,SR,OP03-041,CA$1.47
Fire Fist (Alternate Art),Pillars of Strength,R,OP03-018,CA$17.32
Sanji's Pilaf (Alternate Art),Premium Booster,UC,OP03-056,CA$49.86
Paulie,Pillars of Strength,SR,OP03-066,CA$0.70
Charlotte Linlin (114),Pillars of Strength,SR,OP03-114,CA$12.95
Sogeking (Manga),Premium Booster,SEC,OP03-122,CA$353.75
Three Thousand Worlds (Alternate Art),Premium Booster,R,OP03-057,CA$22.82
Kalifa (081),Pillars of Strength,R,OP03-081,CA$0.57
Kalifa (060),Pillars of Strength,UC,OP03-060,CA$0.13
Air Door,Pillars of Strength,UC,OP03-094,CA$0.07
Charlotte Perospero (Alternate Art),Pillars of Strength,SR,OP03-113,CA$14.09
Vergo,Pillars of Strength,UC,OP03-079,CA$0.10
Issho (SP),500 Years in the Future,SR,OP03-078,CA$36.06
Portgas.D.Ace (Alternate Art),Pillars of Strength,L,OP03-001,CA$120.26
Charlotte Smoothie (Alternate Art),Premium Booster,R,OP03-110,CA$6.09
Rob Lucci (092),Pillars of Strength,SR,OP03-092,CA$0.59
Izo (SP),500 Years in the Future,R,OP03-003,CA$42.01
Spandam,Pillars of Strength,R,OP03-086,CA$0.60
Sogeking (Alternate Art),Pillars of Strength,SEC,OP03-122,CA$17.01
Charlotte Linlin (077) (Alternate Art),Pillars of Strength,L,OP03-077,CA$54.70
Iceburg (Alternate Art),Pillars of Strength,L,OP03-058,CA$48.84
Monkey.D.Luffy,Pillars of Strength,R,OP03-070,CA$0.18
Sanji,Pillars of Strength,R,OP03-102,CA$0.84
Rob Lucci (076) (Alternate Art),Pillars of Strength,L,OP03-076,CA$50.09
Speed Jil,Pillars of Strength,C,OP03-006,CA$0.08
Charlotte Perospero (Alternate Art),Premium Booster,SR,OP03-113,CA$7.63
Thunder Bolt (Jolly Roger Foil),Premium Booster,C,OP03-121,CA$0.14
Gum-Gum Giant Gavel (Jolly Roger Foil),Premium Booster,C,OP03-055,CA$0.18
Charlotte Cracker (Alternate Art),Pillars of Strength,SR,OP03-108,CA$10.71
Issho (Alternate Art),Pillars of Strength,SR,OP03-078,CA$18.06
Zeff,Pillars of Strength,R,OP03-047,CA$0.56
Nami (030),Pillars of Strength,R,OP03-030,CA$0.21
Fire Fist,Pillars of Strength,R,OP03-018,CA$0.71
Charlotte Cracker (JP),Pillars of Strength,SR,OP03-108,CA$5.59
Sogeking,Pillars of Strength,SEC,OP03-122,CA$6.38
Haruta,Pillars of Strength,C,OP03-009,CA$0.11
Charlotte Katakuri (JP),PRB01 - One Piece Card the Best,SEC,OP03-123,CA$8.10
Sanji's Pilaf (Jolly Roger Foil),Premium Booster,UC,OP03-056,CA$0.85
Usopp (Alternate Art),Pillars of Strength,SR,OP03-041,CA$11.02
Namule,Pillars of Strength,C,OP03-007,CA$0.08
Charlotte Galette,Pillars of Strength,C,OP03-107,CA$0.13
Brannew (Alternate Art),Premium Booster,R,OP03-089,CA$18.40
Fossa,Pillars of Strength,C,OP03-010,CA$0.08
Spandam (Alternate Art),Pillars of Strength,R,OP03-086,CA$18.72
Kuro (Alternate Art),Pillars of Strength,L,OP03-021,CA$44.78
Bell-mere,Pillars of Strength,R,OP03-051,CA$0.35
Izo (OP03-003) (Alternate Art),Premium Booster,R,OP03-003,CA$12.92
Sogeking (Manga Alternate Art) (JP),Pillars of Strength,SEC,OP03-122,CA$642.50
Soap Sheep,Pillars of Strength,C,OP03-095,CA$0.20
Charlotte Cracker (Alternate Art),Premium Booster,SR,OP03-108,CA$9.26
Enies Lobby,Pillars of Strength,C,OP03-098,CA$0.11
Charlotte Opera,Pillars of Strength,C,OP03-106,CA$0.07
Marshall.D.Teach,Pillars of Strength,R,OP03-012,CA$0.11
Nojiko,Pillars of Strength,UC,OP03-048,CA$1.03
Three Thousand Worlds (Textured Foil),Premium Booster,R,OP03-057,CA$3.17
Curiel,Pillars of Strength,C,OP03-004,CA$0.07
Kiwi & Mozu,Pillars of Strength,C,OP03-061,CA$0.11
Brannew (Full Art),Premium Booster,R,OP03-089,CA$4.76
Rob Lucci (092) (Alternate Art),Pillars of Strength,SR,OP03-092,CA$6.89
Kaku (080) (Alternate Art),Pillars of Strength,SR,OP03-080,CA$13.03
Tropical Torment,Pillars of Strength,C,OP03-120,CA$0.15
Charlotte Praline,Pillars of Strength,C,OP03-111,CA$0.07
Striker,Pillars of Strength,C,OP03-020,CA$0.11
Kaya,Pillars of Strength,R,OP03-044,CA$3.31
Three Thousand Worlds (Jolly Roger Foil),Premium Booster,R,OP03-057,CA$0.22
Fiery Doll,Pillars of Strength,C,OP03-019,CA$0.10
Alvida,Pillars of Strength,C,OP03-023,CA$0.06
Izo (OP03-003) (Reprint),Premium Booster,R,OP03-003,CA$0.13
Rob Lucci (071),Pillars of Strength,R,OP03-071,CA$0.13
Charlotte Perospero (JP),Pillars of Strength,SR,OP03-113,CA$5.87
Nami (040),Pillars of Strength,L,OP03-040,CA$0.99
Streusen,Pillars of Strength,R,OP03-115,CA$0.24
Six King Pistol,Pillars of Strength,R,OP03-097,CA$0.56
Gaimon,Pillars of Strength,C,OP03-043,CA$0.08
Sham,Pillars of Strength,C,OP03-027,CA$0.07
Buggy (008),Pillars of Strength,UC,OP03-008,CA$0.28
Charlotte Cracker,Pillars of Strength,SR,OP03-108,CA$0.81
Top Knot,Pillars of Strength,UC,OP03-074,CA$1.35
Usopp's Pirate Crew,Pillars of Strength,C,OP03-042,CA$0.10
Yosaku & Johnny,Pillars of Strength,C,OP03-053,CA$0.11
Shirahoshi (OP03-116) (Reprint),Premium Booster,UC,OP03-116,CA$0.11
Charlotte Smoothie (Full Art),Premium Booster,R,OP03-110,CA$3.56
Pearl,Pillars of Strength,C,OP03-031,CA$0.07
Galley-La Company,Pillars of Strength,C,OP03-075,CA$0.07
Helmeppo,Pillars of Strength,C,OP03-091,CA$0.10
Merry,Pillars of Strength,C,OP03-052,CA$0.11
Charlotte Smoothie (Jolly Roger Foil),Premium Booster,R,OP03-110,CA$0.21
Jerry,Pillars of Strength,C,OP03-084,CA$0.08
Bobbin the Disposer,Pillars of Strength,C,OP03-103,CA$0.08
Out-of-the-Bag,Pillars of Strength,C,OP03-036,CA$0.06
Kingbaum,Pillars of Strength,C,OP03-100,CA$0.11
Charlotte Chiffon,Pillars of Strength,C,OP03-109,CA$0.10
Jabra,Pillars of Strength,C,OP03-085,CA$0.10
Chimney & Gonbe,Pillars of Strength,C,OP03-065,CA$0.10
Momoo,Pillars of Strength,C,OP03-035,CA$0.07
Genzo,Pillars of Strength,C,OP03-046,CA$0.07
Camie,Pillars of Strength,C,OP03-101,CA$0.13
Minorhinoceros,Pillars of Strength,C,OP03-069,CA$0.10
Nami (Alternate Art) (JP),Pillars of Strength,L,OP03-040,CA$181.58
Tooth Attack,Pillars of Strength,C,OP03-037,CA$0.06
Minozebra,Pillars of Strength,C,OP03-068,CA$0.11
Flame Emperor,Pillars of Strength,R,OP03-016,CA$0.28
Tilestone,Pillars of Strength,C,OP03-064,CA$0.07
Vergo (Full Art),Premium Booster,UC,OP03-079,CA$4.75
Blueno,Pillars of Strength,R,OP03-090,CA$0.14
Charlotte Smoothie (Reprint),Premium Booster,R,OP03-110,CA$0.17
Corgy,Pillars of Strength,C,OP03-083,CA$0.07
Hull Dismantler Slash,Pillars of Strength,C,OP03-073,CA$0.07
Nero,Pillars of Strength,C,OP03-087,CA$0.07
Kalifa (081) (Alternate Art),Pillars of Strength,R,OP03-081,CA$35.97
Buggy (032),Pillars of Strength,C,OP03-032,CA$0.14
Charlotte Pudding (Championship 2024),One Piece Promotion Cards,R,OP03-112,CA$281.11
Gin,Pillars of Strength,R,OP03-024,CA$0.47
Shirahoshi (OP03-116) (Full Art),Premium Booster,UC,OP03-116,CA$10.04
Krieg (Alternate Art),Pillars of Strength,SR,OP03-025,CA$8.55
Charlotte Perospero,Pillars of Strength,SR,OP03-113,CA$0.64
Charlotte Katakuri (Parallel) (JP),PRB01 - One Piece Card the Best,SEC,OP03-123,CA$20.95
Issho,Pillars of Strength,SR,OP03-078,CA$4.22
