Name,Category,Rarity,SKU ID,Price
Monkey.D.Luffy (Wanted Poster),Emperors in the New World,SEC,OP05-119,CA$218.31
Monkey D. Luffy Manga,Awakening of the New Era,SEC,OP05-119,"CA$3,415.02"
Monkey.D.Luffy (PSA Magazine),Awakening of the New Era,L,OP05-060,CA$188.78
Zoro-Juurou (SP),Emperors in the New World,R,OP05-067,CA$226.36
Monkey.D.Luffy (119),Awakening of the New Era,SEC,OP05-119,CA$3.81
Monkey.D.Luffy (119) (Alternate Art),Awakening of the New Era,SEC,OP05-119,CA$45.39
Rebecca (SP),Wings of the Captain,SR,OP05-091,CA$189.69
Rob Lucci (SP),Emperors in the New World,SR,OP05-093,CA$84.00
Monkey D. Luffy Manga (JP),Awakening of the New Era,SEC,OP05-119,"CA$5,003.12"
Nico Robin,Awakening of the New Era: 1st Anniversary Tournament Cards,UC,OP05-010,CA$83.39
Monkey.D.Luffy (Alternate Art),Awakening of the New Era,L,OP05-060,CA$79.87
Monkey.D.Luffy (OP05-119) (Manga),Premium Booster,SEC,OP05-119,"CA$1,848.18"
Enel (098) (Alternate Art),Awakening of the New Era,L,OP05-098,CA$58.90
Monkey.D.Luffy (Gold Parallel) (JP),A Fist of Divine Speed,SP,OP05-119,"CA$4,584.10"
Rebecca,Awakening of the New Era,SR,OP05-091,CA$5.03
Kaido (OP05-118) (Reprint),Premium Booster,SEC,OP05-118,CA$0.77
Enel (100) (SP),Awakening of the New Era,SR,OP05-100,CA$102.31
One-Legged Toy Soldier (Alternate Art),Premium Booster,UC,OP05-081,CA$100.84
Monkey.D.Luffy (JP),Emperors in the New World,SEC,OP05-119,CA$419.02
"Eustass""Captain""Kid (SP)",500 Years in the Future,SR,OP05-074,CA$70.72
Sakazuki (Alternate Art),Awakening of the New Era,L,OP05-041,CA$31.44
Kaido (118),Awakening of the New Era,SEC,OP05-118,CA$1.68
"Eustass""Captain""Kid (Reprint)",Premium Booster,SR,OP05-074,CA$0.84
Gedatsu (Alternate Art),Awakening of the New Era,R,OP05-102,CA$14.39
Monkey.D.Luffy (JP),PRB01 - One Piece Card the Best,SEC,OP05-119,CA$8.38
Belo Betty (Alternate Art),Awakening of the New Era,L,OP05-002,CA$57.96
Rebecca (Alternate Art),Awakening of the New Era,SR,OP05-091,CA$33.97
"Eustass""Captain""Kid (Manga Alternate Art)",Awakening of the New Era,SR,OP05-074,CA$622.05
Monkey.D.Luffy (OP05-119) (Alternate Art),Premium Booster,SEC,OP05-119,CA$86.18
