Name,Category,Rarity,SKU ID,Price
Nami (SP),Emperors in the New World,SR,OP08-106,CA$417.01
Silvers Rayleigh,Two Legends,SEC,OP08-118,CA$42.42
Nami,Two Legends,SR,OP08-106,CA$6.52
Silvers Rayleigh (Parallel) (Manga),Two Legends,SEC,OP08-118,CA$434.01
Nami (SP) (JP),Emperors in the New World,SR,OP08-106,CA$209.51
Charlotte Linlin,Two Legends,SR,OP08-069,CA$3.98
Nami (Parallel),Two Legends,SR,OP08-106,CA$44.84
Kaido & Linlin,Two Legends,SEC,OP08-119,CA$6.38
Black Maria,Two Legends,SR,OP08-074,CA$3.02
Silvers Rayleigh (Parallel),Two Legends,SEC,OP08-118,CA$65.79
Charlotte Pudding (058) (Parallel),Two Legends,L,OP08-058,CA$68.33
Carrot (023),Two Legends,SR,OP08-023,CA$2.64
Jack,Two Legends,SR,OP08-084,CA$1.09
Charlotte Linlin (Parallel),Two Legends,SR,OP08-069,CA$35.56
Jewelry Bonney,Two Legends,SR,OP08-105,CA$0.88
Portgas.D.Ace (Parallel),Two Legends,R,OP08-052,CA$12.60
Tony Tony.Chopper (001) (Parallel),Two Legends,L,OP08-001,CA$38.76
Tony Tony.Chopper (007),Two Legends,SR,OP08-007,CA$1.01
Carrot (023) (Parallel),Two Legends,SR,OP08-023,CA$37.14
Marco (Parallel),Two Legends,L,OP08-002,CA$60.28
Tony Tony.Chopper (0070) (Parallel),Two Legends,SR,OP08-007,CA$30.13
Kaido,Two Legends,SR,OP08-079,CA$0.94
Edward.Newgate,Two Legends,SR,OP08-043,CA$0.35
Charlotte Pudding (067) (Parallel),Two Legends,R,OP08-067,CA$14.75
S-Snake,Two Legends,SR,OP08-112,CA$0.39
Black Maria (Parallel),Two Legends,SR,OP08-074,CA$17.82
Portgas.D.Ace (TR),Royal Blood,TR,OP08-052,CA$29.30
Kaido & Linlin (Parallel),Two Legends,SEC,OP08-119,CA$17.01
Jozu,Two Legends,R,OP08-047,CA$0.96
Kaido (Parallel),Two Legends,SR,OP08-079,CA$15.66
Edward.Newgate (Parallel),Two Legends,SR,OP08-043,CA$13.34
Jack (Parallel),Two Legends,SR,OP08-084,CA$16.47
Jewelry Bonney (Parallel),Two Legends,SR,OP08-105,CA$13.35
Kalgara (098) (Parallel),Two Legends,L,OP08-098,CA$19.16
S-Snake (Parallel),Two Legends,SR,OP08-112,CA$8.31
Carrot (021) (Parallel),Two Legends,L,OP08-021,CA$28.33
Portgas.D.Ace,Two Legends,R,OP08-052,CA$0.20
King (057) (Parallel),Two Legends,L,OP08-057,CA$17.60
Nami (JP),Two Legends,SR,OP08-106,CA$8.66
King (060),Two Legends,R,OP08-060,CA$0.14
S-Hawk,Two Legends,R,OP08-114,CA$0.13
Charlotte Katakuri (063),Two Legends,R,OP08-063,CA$0.11
Wanda,Two Legends,R,OP08-034,CA$0.08
Charlotte Pudding (067),Two Legends,R,OP08-067,CA$0.24
Silvers Rayleigh (JP),Two Legends,SEC,OP08-118,CA$38.83
Page One,Two Legends,R,OP08-092,CA$0.11
Whos.Who,Two Legends,R,OP08-091,CA$0.17
Wapol,Two Legends,R,OP08-014,CA$0.17
Maria Onion Bear,Two Legends,C,OP08-009,CA$0.06
Mont Blanc Noland,Two Legends,R,OP08-109,CA$0.15
Electrical Luna,Two Legends,R,OP08-036,CA$0.56
Nami (Parallel) (JP),Two Legends,SR,OP08-106,CA$62.57
Shakuyaku,Two Legends,R,OP08-046,CA$0.11
Sasaki,Two Legends,R,OP08-082,CA$0.08
Dalton,Two Legends,R,OP08-008,CA$0.07
Twenty Doctors,Two Legends,C,OP08-003,CA$0.06
Thank You...for Loving Me!!,Two Legends,R,OP08-053,CA$0.14
Dr.Kureha,Two Legends,R,OP08-015,CA$0.22
X.Drake,Two Legends,C,OP08-093,CA$0.06
