Name,Category,Rarity,SKU ID,Price
Nami (OP01-016) (Manga),Premium Booster,R,OP01-016,CA$886.54
Nami (SP),Awakening of the New Era,R,OP01-016,CA$269.50
Nami (Parallel),Romance Dawn,R,OP01-016,CA$279.57
Boa Hancock (SP),Kingdoms of Intrigue,SR,OP01-078,CA$310.38
Roronoa Zoro (001) (Parallel),Romance Dawn,L,OP01-001,CA$504.32
Shanks (Parallel) (Manga) (Alternate Art),Romance Dawn,SEC,OP01-120,"CA$1,203.79"
Yamato (SP),Awakening of the New Era,SEC,OP01-121,CA$121.81
"Eustass""Captain""Kid",Romance Dawn,SR,OP01-051,CA$6.09
Nami (Manga) (JP),PRB01 - One Piece Card the Best,R,OP01-016,CA$600.60
Yamato,Romance Dawn,SEC,OP01-121,CA$7.93
Donquixote Doflamingo (060) (Parallel),Romance Dawn,L,OP01-060,CA$256.02
Roronoa Zoro - OP01-001 (Alternate Art),One Piece Promotion Cards,PR,OP01-001,CA$74.99
Monkey.D.Luffy (003) (Parallel),Romance Dawn,L,OP01-003,CA$288.72
Donquixote Doflamingo (SP),500 Years in the Future,R,OP01-073,CA$78.19
Otama (Alternate Art),Premium Booster,UC,OP01-006,CA$55.88
Trafalgar Law (002) (Parallel),Romance Dawn,L,OP01-002,CA$377.68
Roronoa Zoro (025) (Parallel),Romance Dawn,SR,OP01-025,CA$115.23
Boa Hancock (OP01-078) (Alternate Art),Premium Booster,SR,OP01-078,CA$20.97
Shanks (JP),Romance Dawn,SCR,OP01-120,CA$5.31
Trafalgar Law (OP01-047) (Alternate Art),Premium Booster,SR,OP01-047,CA$37.80
"Eustass""Captain""Kid (OP01-051) (Alternate Art)",Premium Booster,SR,OP01-051,CA$56.47
"Eustass""Captain""Kid (Wanted Poster)",Pillars of Strength,SR,OP01-051,CA$117.03
Shanks,Romance Dawn,SEC,OP01-120,CA$3.17
Yamato (Parallel),Romance Dawn,SEC,OP01-121,CA$73.69
Monkey.D.Luffy (OP01-024) (Alternate Art),Premium Booster,SR,OP01-024,CA$8.44
Monkey.D.Luffy (024),Romance Dawn,SR,OP01-024,CA$0.41
Boa Hancock (Parallel),Romance Dawn,SR,OP01-078,CA$71.15
Shanks (Manga),Premium Booster,SEC,OP01-120,CA$537.17
Dracule Mihawk (OP01-070) (Reprint),Premium Booster,SR,OP01-070,CA$0.46
Boa Hancock (OP01-078) (Reprint),Premium Booster,SR,OP01-078,CA$0.31
Trafalgar Law (SP),Kingdoms of Intrigue,SR,OP01-047,CA$97.94
Boa Hancock (SP) (JP),Kingdoms of Intrigue,SR,OP01-078,CA$349.19
Yamato (JP),Romance Dawn,SCR,OP01-121,CA$7.26
Kouzuki Oden (Parallel),Romance Dawn,L,OP01-031,CA$104.98
Trafalgar Law (047),Romance Dawn,SR,OP01-047,CA$0.71
Roronoa Zoro - OP01-025 (Treasure Cup),One Piece Promotion Cards,SR,OP01-025,"CA$8,518.51"
King (091) (Parallel),Romance Dawn,L,OP01-091,CA$68.98
Kaido (094) (Parallel),Romance Dawn,SR,OP01-094,CA$23.73
Shanks (OP01-120) (Alternate Art),Premium Booster,SEC,OP01-120,CA$7.70
Monkey D. Luffy (Parallel) (JP),Romance Dawn,SR,OP01-024,CA$4.47
Nami - OP01-016 (Alternate Art),One Piece Promotion Cards,PR,OP01-016,CA$28.70
Roronoa Zoro (001),Romance Dawn,L,OP01-001,CA$1.65
Uta,Romance Dawn,R,OP01-005,CA$0.35
Yamato (OP01-121) (Alternate Art),Premium Booster,SEC,OP01-121,CA$32.63
King (096),Romance Dawn,SR,OP01-096,CA$0.91
Shanks (Championship 2023) [Serial Number],One Piece Promotion Cards,PR,OP01-120,"CA$3,840.34"
Kin'emon,Romance Dawn,SR,OP01-040,CA$0.96
Perona,Romance Dawn,UC,OP01-077,CA$2.18
Raizo,Romance Dawn,UC,OP01-052,CA$0.11
Otama (Reprint),Premium Booster,UC,OP01-006,CA$1.19
Crocodile (067),Romance Dawn,SR,OP01-067,CA$0.75
You Can Be My Samurai!!,Romance Dawn,C,OP01-055,CA$0.49
Dracule Mihawk (JP),Romance Dawn,SR,OP01-070,CA$5.03
Yamato (JP),PRB01 - One Piece Card the Best,SEC,OP01-121,CA$6.98
Roronoa Zoro (Parallel) (JP),Romance Dawn,L,OP01-001,CA$209.51
Nico Robin,Romance Dawn,R,OP01-017,CA$0.43
Killer,Romance Dawn,UC,OP01-039,CA$3.00
Okiku (SP),500 Years in the Future,R,OP01-035,CA$38.77
Desert Spada,Romance Dawn,UC,OP01-088,CA$1.13
Boa Hancock (Parallel) (JP),Romance Dawn,SR,OP01-078,CA$30.73
Monkey.D.Luffy (024) (Parallel),Romance Dawn,SR,OP01-024,CA$39.60
Dracule Mihawk (OP01-070) (Alternate Art),Premium Booster,SR,OP01-070,CA$15.34
Shanks (JP),PRB01 - One Piece Card the Best,SEC,OP01-120,CA$6.98
Overheat,Romance Dawn,R,OP01-086,CA$0.38
Roronoa Zoro (025),Romance Dawn,SR,OP01-025,CA$9.75
X.Drake (054),Romance Dawn,R,OP01-054,CA$0.57
Yamato (Parallel) (JP),Romance Dawn,SCR,OP01-121,CA$37.43
Radical Beam!!,Romance Dawn,UC,OP01-029,CA$4.19
Cavendish,Romance Dawn,C,OP01-008,CA$0.08
Sanji (Gift Collection 2023),One Piece Promotion Cards,R,OP01-013,CA$16.48
Carrot,Romance Dawn,C,OP01-009,CA$0.13
Nami (Gift Collection 2023),One Piece Promotion Cards,R,OP01-016,CA$42.49
Nami (English Version 1st Anniversary Set),One Piece Promotion Cards,R,OP01-016,CA$59.31
Trafalgar Law (002),Romance Dawn,L,OP01-002,CA$0.39
Usopp,Romance Dawn,R,OP01-004,CA$0.21
Alvida,Romance Dawn,C,OP01-064,CA$0.15
Ulti (Parallel),Romance Dawn,R,OP01-093,CA$17.50
Marco,Romance Dawn,C,OP01-023,CA$0.08
Izo (OP01-033) (Alternate Art),Premium Booster,UC,OP01-033,CA$18.38
